#HEADER
Analysis
Version,1.4.0,1.04
Filename,A518_Pb-2530.TXT
MethodName,Pb_Faraday_MD_981.TIMSAM
MethodPath,C:\IsoLinx\Projects\RIGL.Pro\Methods
IsoWorksMethod,Pb_Faraday_MD_981
FolderPath,C:\IsoLinx\Projects\RIGL.Pro\Analysis\T0039_HiPb981DblSpk\A518_Pb.RAW
Corrected,Yes
BChannels,Yes
TimeZero, December 25, 2021 9:45:01 PM.979

#COLLECTORS
Name,Type,Resistor,Gain,Efficiency,DT
PM,PM,1e+11,1.000000000,1.000000000,31.3000
L5,F,1e+11,1.000000000,1.000000000,0.0000
L4,F,1e+11,1.000362239,1.000000000,0.0000
L3,F,1e+11,1.001916859,1.000000000,0.0000
L2,F,1e+11,0.998704526,1.000000000,0.0000
Ax,F,1e+11,0.994221629,1.000000000,0.0000
H1,F,1e+11,1.004330622,1.000000000,0.0000
H2,F,1e+11,0.967642535,1.000000000,0.0000
H3,F,1e+11,0.988378437,1.000000000,0.0000
H4,F,1e+11,0.996368444,1.000000000,0.0000

#BASELINES
ID,Block,Cycle,Integ,PeakID,AxMass,Time,PM,L5,L4,L3,L2,Ax,H1,H2,H3,H4,L5.B,L4.B,L3.B,L2.B,Ax.B,H1.B,H2.B,H3.B,H4.B
BL1, 1, 1, 1, BL1, 203.5087, 166.6459047, 0.000000000000e+000, 2.114348119888e-007, 4.328111401742e-006, 8.719909412861e-007, -4.192869696664e-007, 6.458084552740e-006, 1.259521151095e-005, 3.146993112465e-005, 4.888375979384e-005, 6.557261228367e-005, 2.114348119888e-007, 4.328111401742e-006, 8.719909412861e-007, -4.192869696664e-007, 6.458084552740e-006, 1.259521151095e-005, 3.146993112465e-005, 4.888375979384e-005, 6.557261228367e-005
BL2, 1, 1, 1, BL2, 204.5087, 178.6681915, 0.000000000000e+000, -6.146932837197e-006, -3.936233384303e-007, 3.233134594658e-006, 2.918534601640e-007, 9.136768156561e-006, 2.559506646431e-005, 5.003792419476e-005, 5.968480379360e-005, 4.106821761090e-005, -6.146932837197e-006, -3.936233384303e-007, 3.233134594658e-006, 2.918534601640e-007, 9.136768156561e-006, 2.559506646431e-005, 5.003792419476e-005, 5.968480379360e-005, 4.106821761090e-005
BL1, 1, 2, 1, BL1, 203.5087, 225.7490648, 0.000000000000e+000, 3.032003387199e-006, -1.599367090947e-006, -5.478793427709e-007, 3.372403628130e-007, 7.778481015782e-006, 1.580137088123e-005, 3.300116096003e-005, 4.819504579232e-005, 7.169836230665e-005, 3.032003387199e-006, -1.599367090947e-006, -5.478793427709e-007, 3.372403628130e-007, 7.778481015782e-006, 1.580137088123e-005, 3.300116096003e-005, 4.819504579232e-005, 7.169836230665e-005
BL2, 1, 2, 1, BL2, 204.5087, 237.7711342, 0.000000000000e+000, 1.792628228176e-006, 5.737197358900e-006, 5.893393570525e-006, 3.932209867586e-006, 6.960349586932e-006, 2.704131215387e-005, 4.981495771120e-005, 6.726006353371e-005, 4.460832591833e-005, 1.792628228176e-006, 5.737197358900e-006, 5.893393570525e-006, 3.932209867586e-006, 6.960349586932e-006, 2.704131215387e-005, 4.981495771120e-005, 6.726006353371e-005, 4.460832591833e-005
BL1, 1, 3, 1, BL1, 203.5087, 284.8803767, 0.000000000000e+000, -3.317446310143e-006, 1.173234555562e-006, 3.549955185040e-006, 5.950879254806e-007, 7.552989412001e-006, 1.873993018555e-005, 3.318374649074e-005, 4.907505277239e-005, 7.363778433733e-005, -3.317446310143e-006, 1.173234555562e-006, 3.549955185040e-006, 5.950879254806e-007, 7.552989412001e-006, 1.873993018555e-005, 3.318374649074e-005, 4.907505277239e-005, 7.363778433733e-005
BL2, 1, 3, 1, BL2, 204.5087, 296.9005278, 0.000000000000e+000, 4.351276209706e-006, 4.930509023079e-007, 7.292432266579e-006, 4.802487639424e-006, 8.014125821582e-006, 3.058569830559e-005, 5.261475516966e-005, 7.141914487972e-005, 4.423894750250e-005, 4.351276209706e-006, 4.930509023079e-007, 7.292432266579e-006, 4.802487639424e-006, 8.014125821582e-006, 3.058569830559e-005, 5.261475516966e-005, 7.141914487972e-005, 4.423894750250e-005
BL1, 1, 4, 1, BL1, 203.5087, 343.9877643, 0.000000000000e+000, -1.260393894584e-006, 2.856345258828e-006, 2.150165139040e-006, -1.556582474026e-007, 2.847870884088e-006, 1.234614503101e-005, 3.223088492783e-005, 4.518900888285e-005, 6.326094860767e-005, -1.260393894584e-006, 2.856345258828e-006, 2.150165139040e-006, -1.556582474026e-007, 2.847870884088e-006, 1.234614503101e-005, 3.223088492783e-005, 4.518900888285e-005, 6.326094860767e-005
BL2, 1, 4, 1, BL2, 204.5087, 356.0113532, 0.000000000000e+000, -8.509995725505e-007, -3.939607442502e-006, 4.192063740557e-006, 6.995673052941e-007, 7.050592327119e-006, 2.865590975353e-005, 4.870693797890e-005, 6.759582652314e-005, 4.518111376806e-005, -8.509995725505e-007, -3.939607442502e-006, 4.192063740557e-006, 6.995673052941e-007, 7.050592327119e-006, 2.865590975353e-005, 4.870693797890e-005, 6.759582652314e-005, 4.518111376806e-005
BL1, 1, 5, 1, BL1, 203.5087, 403.1063377, 0.000000000000e+000, 4.602674705795e-006, -2.595589299158e-008, 2.405996324736e-006, 2.376481232932e-006, 1.047617205572e-005, 1.649126277098e-005, 3.836464949682e-005, 5.407988675521e-005, 7.271759615243e-005, 4.602674705795e-006, -2.595589299158e-008, 2.405996324736e-006, 2.376481232932e-006, 1.047617205572e-005, 1.649126277098e-005, 3.836464949682e-005, 5.407988675521e-005, 7.271759615243e-005
BL2, 1, 5, 1, BL2, 204.5087, 415.1294465, 0.000000000000e+000, 8.751763340120e-007, 4.947579778401e-006, 2.456144807518e-006, -1.309282074719e-006, 5.726155308430e-006, 2.680650723113e-005, 4.538916553432e-005, 7.013366165485e-005, 3.684454659162e-005, 8.751763340120e-007, 4.947579778401e-006, 2.456144807518e-006, -1.309282074719e-006, 5.726155308430e-006, 2.680650723113e-005, 4.538916553432e-005, 7.013366165485e-005, 3.684454659162e-005
