Tripoli tab-delimited output of processed data for:
A519__U.trip
produced on: 2021-12-27

Each column header shows ratio name, Tripolized mean, Tripolized stdErr, Fractionation Corrected flag.
Data is presented by blocks that are separated by blank lines. 
Any discarded value is shown as a negative number. 
Any missing value is represented by a blank entry. 

Time            	i208_S1         	i207_S1         	i204_S1         	R64S1           	R74S1           	R84S1           	R86S1           	R76S1           	R87S1           	R64S2           	R74S2           	R84S2           	R86S2           	R76S2           	R87S2           	R64S3           	R74S3           	R84S3           	R86S3           	R76S3           	R87S3           	
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	
8.820276975E+003	1.468629802E+001	6.285857209E+000	4.104250839E-001	1.577039338E+001	1.453230933E+001	3.440409095E+001	2.239283483E+000	1.077086007E+000	2.378991148E+000	1.599288607E+001	1.510578674E+001	3.337395988E+001	2.151863159E+000	1.078622763E+000	2.312210472E+000	1.579606235E+001	1.467605948E+001	3.360889915E+001	3.126600742E+000	1.105028578E+000	2.383637877E+000	
3.213114636E+000	6.112320935E+000	6.076557210E+000	6.051655258E+000	2.369531368E+000	2.374037294E+000	2.334031144E+000	2.842216872E+000	4.020970890E+000	2.150408063E+000	1.773256520E+000	2.410450776E+000	2.196658433E+000	2.742089812E+000	1.266598167E+001	1.716920752E+000	1.682666064E+000	2.016308589E+000	1.810594496E+000	2.068543580E+001	7.068415628E+000	3.066268489E+000	
not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	

1.745400000E+002	6.472340745E+000	2.736054931E+000	1.773031600E-001	1.689159004E+001	1.543150686E+001	3.650437332E+001	2.161097519E+000	9.135615313E-001	2.365574123E+000	1.689168131E+001	1.542976454E+001	3.650487191E+001	2.161115359E+000	9.134534482E-001	2.365873557E+000	1.689404040E+001	1.543443274E+001	3.650973188E+001	2.161101254E+000	9.136022156E-001	2.365472869E+000	
2.183440000E+002	8.036381480E+000	3.396961258E+000	2.201694294E-001	1.689004515E+001	1.542885071E+001	3.650089616E+001	2.161089318E+000	9.134878311E-001	2.365756000E+000	1.688931876E+001	1.542967034E+001	3.650323278E+001	2.161320614E+000	9.135756486E-001	2.365781769E+000	1.689340597E+001	1.543087083E+001	3.650713620E+001	2.161028763E+000	9.134256797E-001	2.365850677E+000	
2.621470000E+002	1.016620394E+001	4.297109524E+000	2.784774511E-001	1.689233987E+001	1.543072700E+001	3.650638105E+001	2.161120444E+000	9.134748128E-001	2.365823791E+000	1.689179728E+001	1.543006830E+001	3.650398837E+001	2.161048215E+000	9.134651594E-001	2.365769721E+000	1.688873675E+001	1.542772184E+001	3.649670805E+001	2.161008759E+000	9.134917585E-001	2.365657641E+000	
3.059640000E+002	1.282050288E+001	5.419066974E+000	3.512128392E-001	1.689089569E+001	1.542958107E+001	3.650351426E+001	2.161135498E+000	9.134850721E-001	2.365813699E+000	1.689367179E+001	1.543111007E+001	3.650781570E+001	2.161034981E+000	9.134254682E-001	2.365858032E+000	1.689100865E+001	1.542999469E+001	3.650143010E+001	2.160997657E+000	9.135034510E-001	2.365615208E+000	
