#HEADER
Analysis
Version,1.4.0,1.04
Filename,A520_Pb-2532.TXT
MethodName,PbFaraday_Pbc3Line.TIMSAM
MethodPath,C:\IsoLinx\Projects\RIGL.Pro\Methods
IsoWorksMethod,PbFaraday_Pbc3Line
FolderPath,C:\IsoLinx\Projects\RIGL.Pro\Analysis\T0039_HiPb981DblSpk\A520_Pb.RAW
Corrected,Yes
BChannels,Yes
TimeZero, December 27, 2021 6:39:53 PM.643

#COLLECTORS
Name,Type,Resistor,Gain,Efficiency,DT
PM,PM,1e+11,1.000000000,1.000000000,31.3000
L5,F,1e+11,1.000000000,1.000000000,0.0000
L4,F,1e+11,1.000362239,1.000000000,0.0000
L3,F,1e+11,1.001916859,1.000000000,0.0000
L2,F,1e+11,0.998704526,1.000000000,0.0000
Ax,F,1e+11,0.994221629,1.000000000,0.0000
H1,F,1e+11,1.004330622,1.000000000,0.0000
H2,F,1e+11,0.967642535,1.000000000,0.0000
H3,F,1e+11,0.988378437,1.000000000,0.0000
H4,F,1e+11,0.996368444,1.000000000,0.0000

#BASELINES
ID,Block,Cycle,Integ,PeakID,AxMass,Time,PM,L5,L4,L3,L2,Ax,H1,H2,H3,H4,L5.B,L4.B,L3.B,L2.B,Ax.B,H1.B,H2.B,H3.B,H4.B
BL1, 1, 1, 1, BL1, 203.5000, 167.7897825, 0.000000000000e+000, -4.359654934926e-006, 1.516445983927e-005, -3.223481665464e-006, 2.259557654606e-006, 9.375367699911e-006, 2.735149411158e-005, 4.731949606608e-005, 7.604560156677e-005, 1.002731686700e-004, -4.359654934926e-006, 1.516445983927e-005, -3.223481665464e-006, 2.259557654606e-006, 9.375367699911e-006, 2.735149411158e-005, 4.731949606608e-005, 7.604560156677e-005, 1.002731686700e-004
BL2, 1, 1, 1, BL2, 204.5000, 173.8034735, 0.000000000000e+000, 1.289142176241e-005, -1.265292132739e-005, 1.194993780461e-005, 2.321150714033e-005, 2.763096178299e-005, 5.232942756550e-005, 6.692870401779e-005, 1.012205386454e-004, 7.225728963253e-005, 1.289142176241e-005, -1.265292132739e-005, 1.194993780461e-005, 2.321150714033e-005, 2.763096178299e-005, 5.232942756550e-005, 6.692870401779e-005, 1.012205386454e-004, 7.225728963253e-005
BL3, 1, 1, 1, BL3, 205.5000, 179.8166961, 0.000000000000e+000, 6.725906568331e-007, -1.017246956092e-005, 3.234472813693e-006, 8.478663764420e-006, 3.810608064897e-005, 2.853767719967e-004, 1.039458413615e-004, 6.194877328508e-005, -4.328639242396e-006, 6.725906568331e-007, -1.017246956092e-005, 3.234472813693e-006, 8.478663764420e-006, 3.810608064897e-005, 2.853767719967e-004, 1.039458413615e-004, 6.194877328508e-005, -4.328639242396e-006
BL4, 1, 1, 1, BL4, 206.5000, 185.8301451, 0.000000000000e+000, -3.977672934252e-006, 8.053185093133e-006, 1.385571985377e-005, 4.418716602200e-005, 8.043111726205e-005, 3.115688065785e-004, 7.555317866465e-005, 1.292616953917e-005, 1.123328657190e-005, -3.977672934252e-006, 8.053185093133e-006, 1.385571985377e-005, 4.418716602200e-005, 8.043111726205e-005, 3.115688065785e-004, 7.555317866465e-005, 1.292616953917e-005, 1.123328657190e-005
BL1, 1, 2, 1, BL1, 203.5000, 211.5948387, 0.000000000000e+000, 6.769233837860e-006, -5.507727409148e-006, -5.322854668576e-006, 3.258256297984e-006, 6.896355681383e-006, 2.192642106213e-005, 4.240056496490e-005, 7.055054122736e-005, 9.531336434917e-005, 6.769233837860e-006, -5.507727409148e-006, -5.322854668576e-006, 3.258256297984e-006, 6.896355681383e-006, 2.192642106213e-005, 4.240056496490e-005, 7.055054122736e-005, 9.531336434917e-005
BL2, 1, 2, 1, BL2, 204.5000, 217.6091394, 0.000000000000e+000, 1.563700262802e-006, 2.974138695011e-006, 1.036226115588e-005, 1.432604907330e-005, 1.806459245147e-005, 4.950306566869e-005, 7.287950000689e-005, 1.086637480159e-004, 6.559211967178e-005, 1.563700262802e-006, 2.974138695011e-006, 1.036226115588e-005, 1.432604907330e-005, 1.806459245147e-005, 4.950306566869e-005, 7.287950000689e-005, 1.086637480159e-004, 6.559211967178e-005
BL3, 1, 2, 1, BL3, 205.5000, 223.6232446, 0.000000000000e+000, 3.700024307708e-006, 6.149157611204e-006, 6.685908898762e-007, 1.756397258794e-005, 4.949473260337e-005, 2.558608299073e-004, 1.037654641527e-004, 6.478439279751e-005, 5.139423143982e-006, 3.700024307708e-006, 6.149157611204e-006, 6.685908898762e-007, 1.756397258794e-005, 4.949473260337e-005, 2.558608299073e-004, 1.037654641527e-004, 6.478439279751e-005, 5.139423143982e-006
BL4, 1, 2, 1, BL4, 206.5000, 229.6361057, 0.000000000000e+000, 4.337400827681e-006, -8.186703144011e-007, 1.608996211404e-005, 3.856886235487e-005, 6.763861235185e-005, 2.787733285401e-004, 7.687436217610e-005, 2.103254436097e-005, 3.514222324168e-006, 4.337400827681e-006, -8.186703144011e-007, 1.608996211404e-005, 3.856886235487e-005, 6.763861235185e-005, 2.787733285401e-004, 7.687436217610e-005, 2.103254436097e-005, 3.514222324168e-006
BL1, 1, 3, 1, BL1, 203.5000, 255.4091536, 0.000000000000e+000, -1.397235912122e-007, 2.229392080981e-006, -5.993359153205e-006, -4.024531287620e-006, 5.740549462841e-006, 1.393427040662e-005, 4.369819283239e-005, 7.470014733751e-005, 9.984378135622e-005, -1.397235912122e-007, 2.229392080981e-006, -5.993359153205e-006, -4.024531287620e-006, 5.740549462841e-006, 1.393427040662e-005, 4.369819283239e-005, 7.470014733751e-005, 9.984378135622e-005
BL2, 1, 3, 1, BL2, 204.5000, 261.4219430, 0.000000000000e+000, -3.084303857478e-007, 5.272297551105e-006, 7.823547332597e-006, 5.561684956948e-006, 1.711990765194e-005, 3.464950740583e-005, 7.594072047847e-005, 1.006632910605e-004, 6.817776361581e-005, -3.084303857478e-007, 5.272297551105e-006, 7.823547332597e-006, 5.561684956948e-006, 1.711990765194e-005, 3.464950740583e-005, 7.594072047847e-005, 1.006632910605e-004, 6.817776361581e-005
BL3, 1, 3, 1, BL3, 205.5000, 267.4358515, 0.000000000000e+000, 3.837184124674e-006, 1.495513904727e-005, 1.316133970102e-005, 2.514076643265e-005, 4.780600680308e-005, 2.641659706389e-004, 1.127731370740e-004, 7.456310690565e-005, 1.017790077542e-005, 3.837184124674e-006, 1.495513904727e-005, 1.316133970102e-005, 2.514076643265e-005, 4.780600680308e-005, 2.641659706389e-004, 1.127731370740e-004, 7.456310690565e-005, 1.017790077542e-005
BL4, 1, 3, 1, BL4, 206.5000, 273.4499590, 0.000000000000e+000, -4.941454036705e-006, -3.541802443380e-007, 2.564287899516e-005, 4.837960328725e-005, 7.336877516138e-005, 2.865105468367e-004, 8.165804972643e-005, 1.345493495617e-005, 1.332906976125e-005, -4.941454036705e-006, -3.541802443380e-007, 2.564287899516e-005, 4.837960328725e-005, 7.336877516138e-005, 2.865105468367e-004, 8.165804972643e-005, 1.345493495617e-005, 1.332906976125e-005
BL1, 1, 4, 1, BL1, 203.5000, 299.2168227, 0.000000000000e+000, 7.226235754370e-006, 1.599817720488e-005, 7.615969325517e-006, 1.468908508814e-005, 1.459037851138e-005, 1.864681808868e-005, 4.876178941890e-005, 7.517786203707e-005, 1.048966960497e-004, 7.226235754370e-006, 1.599817720488e-005, 7.615969325517e-006, 1.468908508814e-005, 1.459037851138e-005, 1.864681808868e-005, 4.876178941890e-005, 7.517786203707e-005, 1.048966960497e-004
BL2, 1, 4, 1, BL2, 204.5000, 305.2307765, 0.000000000000e+000, 1.709772722773e-005, 3.910729762831e-006, 1.872482492085e-005, 1.885788146579e-005, 1.927032150774e-005, 4.194653612377e-005, 8.453039896954e-005, 1.081267373371e-004, 6.947743342098e-005, 1.709772722773e-005, 3.910729762831e-006, 1.872482492085e-005, 1.885788146579e-005, 1.927032150774e-005, 4.194653612377e-005, 8.453039896954e-005, 1.081267373371e-004, 6.947743342098e-005
BL3, 1, 4, 1, BL3, 205.5000, 311.2441222, 0.000000000000e+000, 5.592900133228e-006, 8.685347165282e-006, 1.830515648751e-005, 1.793565662593e-005, 5.052666868481e-005, 2.702020566872e-004, 1.090815004781e-004, 6.904167210934e-005, 1.002808534094e-005, 5.592900133228e-006, 8.685347165282e-006, 1.830515648751e-005, 1.793565662593e-005, 5.052666868481e-005, 2.702020566872e-004, 1.090815004781e-004, 6.904167210934e-005, 1.002808534094e-005
BL4, 1, 4, 1, BL4, 206.5000, 317.2575214, 0.000000000000e+000, -6.106554537622e-006, -6.158016472122e-007, 1.158685582147e-005, 4.744545084254e-005, 6.642663468664e-005, 2.897389040574e-004, 6.801393158156e-005, 6.849935140698e-006, 8.601168023576e-006, -6.106554537622e-006, -6.158016472122e-007, 1.158685582147e-005, 4.744545084254e-005, 6.642663468664e-005, 2.897389040574e-004, 6.801393158156e-005, 6.849935140698e-006, 8.601168023576e-006
BL1, 1, 5, 1, BL1, 203.5000, 343.0225846, 0.000000000000e+000, -2.308678229012e-006, -4.940610786445e-007, -1.785191884811e-007, 2.281047387211e-006, 5.135300143813e-006, 2.328159873945e-005, 4.820093919523e-005, 7.495472129738e-005, 9.466061444365e-005, -2.308678229012e-006, -4.940610786445e-007, -1.785191884811e-007, 2.281047387211e-006, 5.135300143813e-006, 2.328159873945e-005, 4.820093919523e-005, 7.495472129738e-005, 9.466061444365e-005
BL2, 1, 5, 1, BL2, 204.5000, 349.0360866, 0.000000000000e+000, 3.028927807787e-006, -6.700264597193e-007, 4.620831471256e-006, 1.917127811602e-005, 1.279106254446e-005, 4.665740401372e-005, 7.083783491390e-005, 1.046545249138e-004, 6.595982030195e-005, 3.028927807787e-006, -6.700264597193e-007, 4.620831471256e-006, 1.917127811602e-005, 1.279106254446e-005, 4.665740401372e-005, 7.083783491390e-005, 1.046545249138e-004, 6.595982030195e-005
BL3, 1, 5, 1, BL3, 205.5000, 355.0491092, 0.000000000000e+000, 5.219607218206e-006, 1.649620764943e-005, 1.445342282079e-005, 1.906925457008e-005, 4.844596270693e-005, 2.473101312257e-004, 1.105936087508e-004, 7.019470456585e-005, 8.860100970985e-006, 5.219607218206e-006, 1.649620764943e-005, 1.445342282079e-005, 1.906925457008e-005, 4.844596270693e-005, 2.473101312257e-004, 1.105936087508e-004, 7.019470456585e-005, 8.860100970985e-006
BL4, 1, 5, 1, BL4, 206.5000, 361.0630318, 0.000000000000e+000, 1.003434045791e-005, 1.167634694126e-006, 2.045854962279e-005, 5.101971202052e-005, 7.481506479808e-005, 2.797578374584e-004, 7.683971709427e-005, 9.765627116641e-006, 1.083004263979e-005, 1.003434045791e-005, 1.167634694126e-006, 2.045854962279e-005, 5.101971202052e-005, 7.481506479808e-005, 2.797578374584e-004, 7.683971709427e-005, 9.765627116641e-006, 1.083004263979e-005
BL1, 1, 6, 1, BL1, 203.5000, 386.8464862, 0.000000000000e+000, 6.682035214914e-006, 1.238571983900e-006, 1.367715900823e-005, 1.884656306432e-006, 8.922185898457e-006, 3.354628968685e-005, 4.650956058840e-005, 7.458405146332e-005, 1.085195009630e-004, 6.682035214914e-006, 1.238571983900e-006, 1.367715900823e-005, 1.884656306432e-006, 8.922185898457e-006, 3.354628968685e-005, 4.650956058840e-005, 7.458405146332e-005, 1.085195009630e-004
