#HEADER
Analysis
Version,1.4.0,1.04
Filename,A522_Pb-2534.TXT
MethodName,PbFaraday_Pbc3Line.TIMSAM
MethodPath,C:\IsoLinx\Projects\RIGL.Pro\Methods
IsoWorksMethod,PbFaraday_Pbc3Line
FolderPath,C:\IsoLinx\Projects\RIGL.Pro\Analysis\T0039_HiPb981DblSpk\A522_Pb.RAW
Corrected,Yes
BChannels,Yes
TimeZero, December 28, 2021 10:07:55 AM.018

#COLLECTORS
Name,Type,Resistor,Gain,Efficiency,DT
PM,PM,1e+11,1.000000000,1.000000000,31.3000
L5,F,1e+11,1.000000000,1.000000000,0.0000
L4,F,1e+11,1.000362239,1.000000000,0.0000
L3,F,1e+11,1.001916859,1.000000000,0.0000
L2,F,1e+11,0.998704526,1.000000000,0.0000
Ax,F,1e+11,0.994221629,1.000000000,0.0000
H1,F,1e+11,1.004330622,1.000000000,0.0000
H2,F,1e+11,0.967642535,1.000000000,0.0000
H3,F,1e+11,0.988378437,1.000000000,0.0000
H4,F,1e+11,0.996368444,1.000000000,0.0000

#BASELINES
ID,Block,Cycle,Integ,PeakID,AxMass,Time,PM,L5,L4,L3,L2,Ax,H1,H2,H3,H4,L5.B,L4.B,L3.B,L2.B,Ax.B,H1.B,H2.B,H3.B,H4.B
BL1, 1, 1, 1, BL1, 203.5000, 158.9659880, 0.000000000000e+000, 4.030589023172e-008, -6.169778382666e-006, 4.013974988540e-006, 2.389419197903e-006, 1.987966049481e-007, 9.414807008754e-007, 6.676460378756e-006, 1.927576005146e-005, 2.231109211331e-005, 4.030589023172e-008, -6.169778382666e-006, 4.013974988540e-006, 2.389419197903e-006, 1.987966049481e-007, 9.414807008754e-007, 6.676460378756e-006, 1.927576005146e-005, 2.231109211331e-005
BL2, 1, 1, 1, BL2, 204.5000, 164.9797121, 0.000000000000e+000, 1.282556413049e-005, -5.726971200388e-006, 5.492362144893e-006, 3.238515068542e-006, 1.406688977827e-005, -7.434830518656e-006, 1.280534595638e-005, 1.794224994452e-005, 9.435748792037e-006, 1.282556413049e-005, -5.726971200388e-006, 5.492362144893e-006, 3.238515068542e-006, 1.406688977827e-005, -7.434830518656e-006, 1.280534595638e-005, 1.794224994452e-005, 9.435748792037e-006
BL3, 1, 1, 1, BL3, 205.5000, 170.9932055, 0.000000000000e+000, -4.145720430923e-007, 8.980123997331e-006, 1.486715025607e-005, 8.130057561151e-006, 4.633701845049e-006, 1.494411344317e-005, 1.031908541601e-005, 6.692573479193e-006, 3.175489627766e-006, -4.145720430923e-007, 8.980123997331e-006, 1.486715025607e-005, 8.130057561151e-006, 4.633701845049e-006, 1.494411344317e-005, 1.031908541601e-005, 6.692573479193e-006, 3.175489627766e-006
BL4, 1, 1, 1, BL4, 206.5000, 177.0070128, 0.000000000000e+000, -3.026343963083e-006, -8.500399597933e-006, 6.009528840474e-006, 5.859293759654e-007, 2.663784722063e-006, 1.642577399500e-005, 8.359685095941e-006, -6.187134878273e-006, -7.606126110166e-006, -3.026343963083e-006, -8.500399597933e-006, 6.009528840474e-006, 5.859293759654e-007, 2.663784722063e-006, 1.642577399500e-005, 8.359685095941e-006, -6.187134878273e-006, -7.606126110166e-006
BL1, 1, 2, 1, BL1, 203.5000, 202.7803471, 0.000000000000e+000, -9.693043795185e-007, -7.107283748084e-006, -1.457859635365e-006, 1.669117337407e-006, 2.369042230040e-007, 1.364963248309e-005, 7.435867167846e-006, 1.923664330490e-005, 6.090595118259e-006, -9.693043795185e-007, -7.107283748084e-006, -1.457859635365e-006, 1.669117337407e-006, 2.369042230040e-007, 1.364963248309e-005, 7.435867167846e-006, 1.923664330490e-005, 6.090595118259e-006
BL2, 1, 2, 1, BL2, 204.5000, 208.7936409, 0.000000000000e+000, -2.076503358856e-006, -4.820479454918e-006, -5.195735828554e-006, 3.926081915606e-007, 4.205536826259e-006, 9.314492838529e-006, 1.272135707551e-005, 1.971266695869e-005, 1.180844983899e-005, -2.076503358856e-006, -4.820479454918e-006, -5.195735828554e-006, 3.926081915606e-007, 4.205536826259e-006, 9.314492838529e-006, 1.272135707551e-005, 1.971266695869e-005, 1.180844983899e-005
BL3, 1, 2, 1, BL3, 205.5000, 214.8066910, 0.000000000000e+000, 3.157353684029e-009, -8.832063988962e-006, 4.931350725334e-006, -1.204897183766e-005, 1.267616691725e-005, 9.922657249447e-006, 1.847381771552e-005, 1.283172478722e-006, -3.243857065996e-006, 3.157353684029e-009, -8.832063988962e-006, 4.931350725334e-006, -1.204897183766e-005, 1.267616691725e-005, 9.922657249447e-006, 1.847381771552e-005, 1.283172478722e-006, -3.243857065996e-006
BL4, 1, 2, 1, BL4, 206.5000, 220.8198955, 0.000000000000e+000, 8.483752102378e-006, 9.477898028767e-006, 4.002907062415e-006, 8.671191720454e-006, 9.656860290921e-006, 2.337726002390e-005, 6.840648849346e-006, 1.667199384585e-006, 1.389736752748e-006, 8.483752102378e-006, 9.477898028767e-006, 4.002907062415e-006, 8.671191720454e-006, 9.656860290921e-006, 2.337726002390e-005, 6.840648849346e-006, 1.667199384585e-006, 1.389736752748e-006
BL1, 1, 3, 1, BL1, 203.5000, 246.6280458, 0.000000000000e+000, -9.392727222574e-007, -7.440792362154e-006, 5.896727854040e-006, 1.451634067300e-005, 2.883249409891e-006, 1.320935788825e-005, 8.807222801362e-006, 1.232126340572e-005, 1.580487696230e-005, -9.392727222574e-007, -7.440792362154e-006, 5.896727854040e-006, 1.451634067300e-005, 2.883249409891e-006, 1.320935788825e-005, 8.807222801362e-006, 1.232126340572e-005, 1.580487696230e-005
BL2, 1, 3, 1, BL2, 204.5000, 252.6408068, 0.000000000000e+000, 4.438078873307e-006, -3.240575677857e-006, 2.965216069692e-006, 2.094546923296e-006, 7.240321626926e-006, 9.503442514384e-006, 1.184556091576e-005, 1.964564908508e-005, 5.402947066969e-006, 4.438078873307e-006, -3.240575677857e-006, 2.965216069692e-006, 2.094546923296e-006, 7.240321626926e-006, 9.503442514384e-006, 1.184556091576e-005, 1.964564908508e-005, 5.402947066969e-006
