Timestamp, 28/04/2021 23:45:28
Collector, High3
Mass ID, 146a
Initial Mass, 145.9778
Peak Centre Mass,145.9756
Method, PeakScanning
PDT, 0.0010
Baseline, -0.017000
DetThreshold, -0.010762
DeltaMass, 0.437934
IntegPeriod, ms100

Mass, Intensity
145.53990, -0.01481891
145.54953, -0.01541615
145.55917, -0.01565337
145.56880, -0.01550555
145.57844, -0.01579523
145.58807, -0.01608968
145.59771, -0.01441956
145.60734, -0.01610279
145.61698, -0.01573205
145.62661, -0.01579404
145.63625, -0.01572609
145.64588, -0.01558065
145.65551, -0.01537442
145.66515, -0.01617074
145.67478, -0.01523733
145.68442, -0.01559019
145.69405, -0.01563787
145.70369, -0.01574397
145.71332, -0.01546383
145.72296, -0.01641512
145.73259, -0.01552939
145.74223, -0.01508117
145.75186, -0.01586199
145.76149, -0.01584530
145.77113, -0.01495481
145.78076, -0.01540780
145.79040, -0.01562476
145.80003, -0.01482725
145.80967, -0.00943184
145.81930, 0.02909184
145.82894, 0.17051101
145.83857, 0.47878623
145.84821, 0.88067055
145.85784, 1.36516571
145.86747, 1.84800387
145.87711, 2.24055410
145.88674, 2.54931808
145.89638, 2.75838852
145.90601, 2.87164569
145.91565, 2.92249441
145.92528, 2.93453932
145.93492, 2.93204904
145.94455, 2.92894721
145.95419, 2.92760253
145.96382, 2.92519570
145.97345, 2.92583943
145.98309, 2.92733073
145.99272, 2.92599440
146.00236, 2.92455316
146.01199, 2.92511344
146.02163, 2.92554140
146.03126, 2.92509198
146.04090, 2.91678310
146.05053, 2.86991000
146.06017, 2.71548391
146.06980, 2.39784598
146.07943, 1.95839763
146.08907, 1.48803592
146.09870, 1.02305412
146.10834, 0.63791990
146.11797, 0.33672094
146.12761, 0.13637900
146.13724, 0.03018975
146.14688, -0.01484990
146.15651, -0.02393961
146.16615, -0.02267718
146.17578, -0.01921296
146.18541, -0.01658201
146.19505, -0.01483679
146.20468, -0.01584888
146.21432, -0.01534939
146.22395, -0.01528978
146.23359, -0.01609564
146.24322, -0.01475930
146.25286, -0.01538515
146.26249, -0.01526713
146.27213, -0.01538992
146.28176, -0.01561522
146.29139, -0.01626492
146.30103, -0.01571178
146.31066, -0.01577735
146.32030, -0.01544237
146.32993, -0.01612544
146.33957, -0.01590014
146.34920, -0.01617551
146.35884, -0.01585364
146.36847, -0.01548529
146.37811, -0.01582623
146.38774, -0.01556396
146.39737, -0.01644492
146.40701, -0.01657724
146.41577, -0.01550555
