#HEADER
Analysis
Version,2.0.11,1.04
Filename,myNewSyntheticData.txt
MethodName,Pb 4-5-6-7-8 Daly 10-5-5-5-2 sec.TIMSAM
MethodPath,/TIMSLAB/SyntheticData/methodFiles
IsoWorksMethod,This is synetic data from the TIMSLAB repository
FolderPath,/TIMSLAB/SyntheticData/syndata
Corrected,Yes
BChannels,No
TimeZero,23 March 2023 01:22:04.165

#COLLECTORS
Name,Type,Resistor,Gain,Efficiency,DT
PM,PM,1e+11,1.000000000,1.000000000,30.2000
RS,EM,1e+11,1.000000000,1.000000000,0.0000
L5,F,1e+12,1.000000000,1.000000000,0.0000
L4,F,1e+12,1.000000000,1.000000000,0.0000
L3,F,1e+12,1.000000000,1.000000000,0.0000
L2,F,1e+12,1.000000000,1.000000000,0.0000
Ax,F,1e+12,1.000000000,1.000000000,0.0000
H1,F,1e+12,1.000000000,1.000000000,0.0000
H2,F,1e+12,1.000000000,1.000000000,0.0000
H3,F,1e+12,1.000000000,1.000000000,0.0000
H4,F,1e+12,1.000000000,1.000000000,0.0000

#BASELINES
ID,Block,Cycle,Integ,PeakID,AxMass,Time,PM,RS,L5,L4,L3,L2,Ax,H1,H2,H3,H4
BL1, 1, 0, 1, BL1, 203.4730, 152.0000000, 0.000000000000e+00, 0.000000000000e+00, -9.974579582010e-03, -1.996804902703e-02, -1.008789308350e-02, -1.960152527616e-02, -2.961408748462e-02, -9.968403106318e-03, -2.051802959151e-02, -9.503601995681e-03, -2.038131633983e-02
BL1, 1, 0, 2, BL1, 203.4730, 152.1000000, 0.000000000000e+00, 0.000000000000e+00, -9.811270726778e-03, -2.018703205551e-02, -1.032549791364e-02, -1.952238200943e-02, -3.028578304789e-02, -1.066494230237e-02, -1.983950938627e-02, -1.019355962808e-02, -2.015143164212e-02
BL1, 1, 0, 3, BL1, 203.4730, 152.2000000, 0.000000000000e+00, 0.000000000000e+00, -9.808641825684e-03, -1.977600940822e-02, -9.672186748273e-03, -1.981532002342e-02, -2.979255698467e-02, -9.882657109531e-03, -1.985720458729e-02, -1.035575290529e-02, -1.978798263528e-02
BL1, 1, 0, 4, BL1, 203.4730, 152.3000000, 0.000000000000e+00, 0.000000000000e+00, -9.830470776574e-03, -1.971633330124e-02, -9.182122246253e-03, -2.031658729831e-02, -3.049510599559e-02, -1.015953493518e-02, -1.931239692884e-02, -1.066716175840e-02, -2.006747109212e-02
BL1, 1, 0, 5, BL1, 203.4730, 152.4000000, 0.000000000000e+00, 0.000000000000e+00, -1.093855511778e-02, -1.973478507423e-02, -1.015313733533e-02, -1.987721812178e-02, -2.888707368957e-02, -9.838463343560e-03, -1.970425741281e-02, -1.037894369566e-02, -1.975316817019e-02
BL1, 1, 0, 6, BL1, 203.4730, 152.5000000, 0.000000000000e+00, 0.000000000000e+00, -9.637343669401e-03, -2.030710508756e-02, -1.007721714250e-02, -2.045217129795e-02, -2.984934408792e-02, -1.020895705530e-02, -2.014727476560e-02, -9.956285217836e-03, -1.986793500142e-02
BL1, 1, 0, 7, BL1, 203.4730, 152.6000000, 0.000000000000e+00, 0.000000000000e+00, -1.030960489387e-02, -1.955708209134e-02, -9.815655830861e-03, -2.042466798225e-02, -2.983905206570e-02, -1.090050363977e-02, -1.998341187595e-02, -9.759878685597e-03, -1.985951639578e-02
BL1, 1, 0, 8, BL1, 203.4730, 152.7000000, 0.000000000000e+00, 0.000000000000e+00, -9.719086457525e-03, -1.993617743581e-02, -1.015627719633e-02, -2.049529031231e-02, -2.946805482727e-02, -9.314319367910e-03, -2.016082486980e-02, -1.041528223242e-02, -2.049325450997e-02
BL1, 1, 0, 9, BL1, 203.4730, 152.8000000, 0.000000000000e+00, 0.000000000000e+00, -1.021003880715e-02, -2.072387034808e-02, -9.913696675567e-03, -2.019569259636e-02, -2.969427130458e-02, -1.040886267850e-02, -2.070955421362e-02, -9.979948095848e-03, -2.101209901275e-02
BL1, 1, 0, 10, BL1, 203.4730, 152.9000000, 0.000000000000e+00, 0.000000000000e+00, -9.617814249215e-03, -1.949292182666e-02, -1.020570381286e-02, -1.991844972324e-02, -3.004056801285e-02, -9.105216905553e-03, -2.006392215084e-02, -1.049651954022e-02, -2.021213605610e-02
BL1, 1, 0, 11, BL1, 203.4730, 153.0000000, 0.000000000000e+00, 0.000000000000e+00, -1.013716828416e-02, -2.013701876094e-02, -9.873562986653e-03, -1.979856152783e-02, -3.046512602842e-02, -1.075042893759e-02, -1.949929514084e-02, -1.078826388078e-02, -1.960350511739e-02
BL1, 1, 0, 12, BL1, 203.4730, 153.1000000, 0.000000000000e+00, 0.000000000000e+00, -1.029765156297e-02, -1.960034110750e-02, -1.043498762428e-02, -1.961627303779e-02, -3.028483005353e-02, -1.038759723291e-02, -2.010305417851e-02, -9.442491010641e-03, -1.967312068109e-02
BL1, 1, 0, 13, BL1, 203.4730, 153.2000000, 0.000000000000e+00, 0.000000000000e+00, -1.033344288776e-02, -2.004783757499e-02, -1.049945961647e-02, -2.023208416030e-02, -3.037319198387e-02, -9.349591201300e-03, -1.970707757954e-02, -1.020189042582e-02, -1.990388311328e-02
BL1, 1, 0, 14, BL1, 203.4730, 153.3000000, 0.000000000000e+00, 0.000000000000e+00, -1.040404701407e-02, -1.958643770876e-02, -1.010337692801e-02, -2.056710270595e-02, -2.978091048793e-02, -9.773571958948e-03, -1.965751946883e-02, -9.872707438068e-03, -1.997329025483e-02
BL1, 1, 0, 15, BL1, 203.4730, 153.4000000, 0.000000000000e+00, 0.000000000000e+00, -9.941242309119e-03, -2.006102003703e-02, -1.074311106112e-02, -2.028705562236e-02, -3.031647073668e-02, -1.003884264039e-02, -2.047387400373e-02, -9.760734112056e-03, -1.965559307609e-02
BL1, 1, 0, 16, BL1, 203.4730, 153.5000000, 0.000000000000e+00, 0.000000000000e+00, -9.183064400509e-03, -2.040340783026e-02, -9.914908026506e-03, -2.008647189021e-02, -2.979147737582e-02, -9.800898398120e-03, -1.921154258273e-02, -1.031130039381e-02, -2.048166883803e-02
BL1, 1, 0, 17, BL1, 203.4730, 153.6000000, 0.000000000000e+00, 0.000000000000e+00, -1.074480008892e-02, -2.056622954562e-02, -9.513268106777e-03, -2.008740017326e-02, -2.957645717545e-02, -9.605609872560e-03, -2.053362698766e-02, -9.656234259701e-03, -1.908447629203e-02
BL1, 1, 0, 18, BL1, 203.4730, 153.7000000, 0.000000000000e+00, 0.000000000000e+00, -9.919693672085e-03, -1.987532154139e-02, -1.002478401456e-02, -1.957382902980e-02, -2.959895412103e-02, -1.022586125955e-02, -1.993130093670e-02, -9.616169690214e-03, -2.031933588563e-02
BL1, 1, 0, 19, BL1, 203.4730, 153.8000000, 0.000000000000e+00, 0.000000000000e+00, -1.006475789911e-02, -2.069220414648e-02, -1.021741539346e-02, -1.932134675282e-02, -2.967160311348e-02, -1.019816550617e-02, -2.083651129895e-02, -9.673399799068e-03, -2.015697667477e-02
BL1, 1, 0, 20, BL1, 203.4730, 153.9000000, 0.000000000000e+00, 0.000000000000e+00, -1.040859336045e-02, -2.022166906836e-02, -1.057142604683e-02, -1.942639471218e-02, -3.005181257242e-02, -9.724255078836e-03, -2.053260835036e-02, -9.771750261435e-03, -2.009106681855e-02
